Eastings,Northings,Elevation,HitType,Normal_X,Normal_Z,Normal_Y,Bearing,Pitch
530843.500,174925.500,42.819,Consented,4.400425E-07,9.352395E-08,1,5.042515E-05,270.0198
530843.750,174925.500,42.819,Consented,1.090357E-06,4.079108E-07,1,0.0001249457,270.0198
530843.500,174925.250,42.819,Consented,4.400425E-07,9.352395E-08,1,5.042515E-05,270.0198
530843.750,174925.250,42.819,Consented,1.090357E-06,4.079108E-07,1,0.0001249457,270.0198
530844.000,174925.250,42.819,Consented,1.090357E-06,4.079108E-07,1,0.0001249457,270.0198
530844.250,174925.250,42.819,Consented,1.090357E-06,4.079108E-07,1,0.0001249457,270.0198
530844.500,174925.250,42.819,Consented,1.090357E-06,4.079108E-07,1,0.0001249457,270.0198
530843.500,174925.000,42.819,Consented,4.400425E-07,9.352395E-08,1,5.042515E-05,270.0198
530843.750,174925.000,42.819,Consented,4.400425E-07,9.352395E-08,1,5.042515E-05,270.0198
530844.000,174925.000,42.819,Consented,1.090357E-06,4.079108E-07,1,0.0001249457,270.0198
530844.250,174925.000,42.819,Consented,1.090357E-06,4.079108E-07,1,0.0001249457,270.0198
530844.500,174925.000,42.819,Consented,1.090357E-06,4.079108E-07,1,0.0001249457,270.0198
530844.750,174925.000,42.819,Consented,1.090357E-06,4.079108E-07,1,0.0001249457,270.0198
530845.000,174925.000,42.819,Consented,1.090357E-06,4.079108E-07,1,0.0001249457,270.0198
530845.250,174925.000,42.819,Consented,1.090357E-06,4.079108E-07,1,0.0001249457,270.0198
530843.250,174924.750,42.819,Consented,4.400425E-07,9.352395E-08,1,5.042515E-05,270.0198
530843.500,174924.750,42.819,Consented,4.400425E-07,9.352395E-08,1,5.042515E-05,270.0198
530843.750,174924.750,42.819,Consented,4.400425E-07,9.352395E-08,1,5.042515E-05,270.0198
530844.000,174924.750,41.818,Consented,1.094629E-06,-1.0838E-07,1,0.0001254353,270.0198
530844.250,174924.750,41.818,Consented,1.094629E-06,-1.0838E-07,1,0.0001254353,270.0198
530844.500,174924.750,41.818,Consented,9.284952E-07,-4.425433E-07,1,0.0001063978,270.0198
530844.750,174924.750,42.819,Consented,1.090357E-06,4.079108E-07,1,0.0001249457,270.0198
530845.000,174924.750,42.819,Consented,1.090357E-06,4.079108E-07,1,0.0001249457,270.0198
530845.250,174924.750,42.819,Consented,1.090357E-06,4.079108E-07,1,0.0001249457,270.0198
530845.500,174924.750,42.819,Consented,1.090357E-06,4.079108E-07,1,0.0001249457,270.0198
530845.750,174924.750,42.819,Consented,1.090357E-06,4.079108E-07,1,0.0001249457,270.0198
530846.000,174924.750,42.819,Consented,1.090357E-06,4.079108E-07,1,0.0001249457,270.0198
530843.250,174924.500,42.819,Consented,4.400425E-07,9.352395E-08,1,5.042515E-05,270.0198
530843.500,174924.500,42.819,Consented,4.400425E-07,9.352395E-08,1,5.042515E-05,270.0198
530843.750,174924.500,41.818,Consented,1.094629E-06,-1.0838E-07,1,0.0001254353,270.0198
530844.000,174924.500,41.818,Consented,1.094629E-06,-1.0838E-07,1,0.0001254353,270.0198
530844.250,174924.500,41.818,Consented,1.094629E-06,-1.0838E-07,1,0.0001254353,270.0198
530844.500,174924.500,41.818,Consented,1.094629E-06,-1.0838E-07,1,0.0001254353,270.0198
530844.750,174924.500,41.818,Consented,1.094629E-06,-1.0838E-07,1,0.0001254353,270.0198
530845.000,174924.500,41.818,Consented,9.284952E-07,-4.425433E-07,1,0.0001063978,270.0198
530845.250,174924.500,42.819,Consented,6.051608E-07,-1.371032E-06,1,6.934642E-05,270.0198
530845.500,174924.500,42.819,Consented,6.051608E-07,-1.371032E-06,1,6.934642E-05,270.0198
530845.750,174924.500,42.819,Consented,1.090357E-06,4.079108E-07,1,0.0001249457,270.0198
530846.000,174924.500,42.819,Consented,1.090357E-06,4.079108E-07,1,0.0001249457,270.0198
530846.250,174924.500,42.819,Consented,1.090357E-06,4.079108E-07,1,0.0001249457,270.0198
530846.500,174924.500,42.819,Consented,1.090357E-06,4.079108E-07,1,0.0001249457,270.0198
530846.750,174924.500,42.819,Consented,1.090357E-06,4.079108E-07,1,0.0001249457,270.0198
530843.250,174924.250,42.819,Consented,4.400425E-07,9.352395E-08,1,5.042515E-05,270.0198
530843.500,174924.250,42.819,Consented,4.400425E-07,9.352395E-08,1,5.042515E-05,270.0198
530843.750,174924.250,41.818,Consented,1.094629E-06,-1.0838E-07,1,0.0001254353,270.0198
530844.000,174924.250,41.818,Consented,1.094629E-06,-1.0838E-07,1,0.0001254353,270.0198
530844.250,174924.250,41.818,Consented,1.094629E-06,-1.0838E-07,1,0.0001254353,270.0198
530844.500,174924.250,41.818,Consented,1.094629E-06,-1.0838E-07,1,0.0001254353,270.0198
530844.750,174924.250,41.818,Consented,1.094629E-06,-1.0838E-07,1,0.0001254353,270.0198
530845.000,174924.250,41.818,Consented,1.094629E-06,-1.0838E-07,1,0.0001254353,270.0198
530845.250,174924.250,41.818,Consented,1.094629E-06,-1.0838E-07,1,0.0001254353,270.0198
530845.500,174924.250,41.818,Consented,9.284952E-07,-4.425433E-07,1,0.0001063978,270.0198
530845.750,174924.250,41.818,Consented,9.284952E-07,-4.425433E-07,1,0.0001063978,270.0198
530846.000,174924.250,42.819,Consented,6.051608E-07,-1.371032E-06,1,6.934642E-05,270.0198
530846.250,174924.250,42.819,Consented,6.051608E-07,-1.371032E-06,1,6.934642E-05,270.0198
530846.500,174924.250,42.819,Consented,6.051608E-07,-1.371032E-06,1,6.934642E-05,270.0198
530846.750,174924.250,42.819,Consented,1.090357E-06,4.079108E-07,1,0.0001249457,270.0198
530847.000,174924.250,42.819,Consented,1.090357E-06,4.079108E-07,1,0.0001249457,270.0198
530847.250,174924.250,42.819,Consented,1.090357E-06,4.079108E-07,1,0.0001249457,270.0198
530847.500,174924.250,42.819,Consented,1.090357E-06,4.079108E-07,1,0.0001249457,270.0198
530843.000,174924.000,42.819,Consented,4.400425E-07,9.352395E-08,1,5.042515E-05,270.0198
530843.250,174924.000,42.819,Consented,4.400425E-07,9.352395E-08,1,5.042515E-05,270.0198
530843.500,174924.000,42.819,Consented,-1.235736E-07,3.15843E-07,1,-1.416049E-05,270.0198
530843.750,174924.000,41.818,Consented,1.094629E-06,-1.0838E-07,1,0.0001254353,270.0198
530844.000,174924.000,41.818,Consented,1.094629E-06,-1.0838E-07,1,0.0001254353,270.0198
530844.250,174924.000,41.818,Consented,1.094629E-06,-1.0838E-07,1,0.0001254353,270.0198
530844.500,174924.000,41.818,Consented,1.094629E-06,-1.0838E-07,1,0.0001254353,270.0198
530844.750,174924.000,41.818,Consented,1.094629E-06,-1.0838E-07,1,0.0001254353,270.0198
530845.000,174924.000,41.818,Consented,1.094629E-06,-1.0838E-07,1,0.0001254353,270.0198
530845.250,174924.000,41.818,Consented,1.094629E-06,-1.0838E-07,1,0.0001254353,270.0198
530845.500,174924.000,41.818,Consented,1.094629E-06,-1.0838E-07,1,0.0001254353,270.0198
530845.750,174924.000,41.818,Consented,1.094629E-06,-1.0838E-07,1,0.0001254353,270.0198
530846.000,174924.000,41.818,Consented,9.284952E-07,-4.425433E-07,1,0.0001063978,270.0198
530846.250,174924.000,41.818,Consented,9.284952E-07,-4.425433E-07,1,0.0001063978,270.0198
530846.500,174924.000,41.818,Consented,9.284952E-07,-4.425433E-07,1,0.0001063978,270.0198
530846.750,174924.000,42.819,Consented,6.051608E-07,-1.371032E-06,1,6.934642E-05,270.0198
530847.000,174924.000,42.819,Consented,6.051608E-07,-1.371032E-06,1,6.934642E-05,270.0198
530847.250,174924.000,42.819,Consented,6.051608E-07,-1.371032E-06,1,6.934642E-05,270.0198
530847.500,174924.000,42.819,Consented,1.090357E-06,4.079108E-07,1,0.0001249457,270.0198
530847.750,174924.000,42.819,Consented,1.090357E-06,4.079108E-07,1,0.0001249457,270.0198
530848.000,174924.000,42.819,Consented,1.090357E-06,4.079108E-07,1,0.0001249457,270.0198
530848.250,174924.000,42.819,Consented,1.090357E-06,4.079108E-07,1,0.0001249457,270.0198
530843.000,174923.750,42.819,Consented,4.400425E-07,9.352395E-08,1,5.042515E-05,270.0198
530843.250,174923.750,42.819,Consented,4.400425E-07,9.352395E-08,1,5.042515E-05,270.0198
530843.500,174923.750,41.818,Consented,1.094629E-06,-1.0838E-07,1,0.0001254353,270.0198
530843.750,174923.750,41.818,Consented,1.094629E-06,-1.0838E-07,1,0.0001254353,270.0198
530844.000,174923.750,41.818,Consented,1.094629E-06,-1.0838E-07,1,0.0001254353,270.0198
530844.250,174923.750,41.818,Consented,1.094629E-06,-1.0838E-07,1,0.0001254353,270.0198
530844.500,174923.750,41.818,Consented,1.094629E-06,-1.0838E-07,1,0.0001254353,270.0198
530844.750,174923.750,41.818,Consented,1.094629E-06,-1.0838E-07,1,0.0001254353,270.0198
530845.000,174923.750,41.818,Consented,1.094629E-06,-1.0838E-07,1,0.0001254353,270.0198
530845.250,174923.750,41.818,Consented,1.094629E-06,-1.0838E-07,1,0.0001254353,270.0198
530845.500,174923.750,41.818,Consented,1.094629E-06,-1.0838E-07,1,0.0001254353,270.0198
530845.750,174923.750,41.818,Consented,1.094629E-06,-1.0838E-07,1,0.0001254353,270.0198
530846.000,174923.750,41.818,Consented,1.094629E-06,-1.0838E-07,1,0.0001254353,270.0198
530846.250,174923.750,41.818,Consented,1.094629E-06,-1.0838E-07,1,0.0001254353,270.0198
530846.500,174923.750,41.818,Consented,9.284952E-07,-4.425433E-07,1,0.0001063978,270.0198
530846.750,174923.750,41.818,Consented,9.284952E-07,-4.425433E-07,1,0.0001063978,270.0198
530847.000,174923.750,41.818,Consented,9.284952E-07,-4.425433E-07,1,0.0001063978,270.0198
530847.250,174923.750,41.818,Consented,9.284952E-07,-4.425433E-07,1,0.0001063978,270.0198
530847.500,174923.750,42.819,Consented,6.051608E-07,-1.371032E-06,1,6.934642E-05,270.0198
530847.750,174923.750,42.819,Consented,6.051608E-07,-1.371032E-06,1,6.934642E-05,270.0198
530848.000,174923.750,42.819,Consented,6.051608E-07,-1.371032E-06,1,6.934642E-05,270.0198
530848.250,174923.750,42.819,Consented,6.051608E-07,-1.371032E-06,1,6.934642E-05,270.0198
530848.500,174923.750,42.819,Consented,1.090357E-06,4.079108E-07,1,0.0001249457,270.0198
530848.750,174923.750,42.819,Consented,1.090357E-06,4.079108E-07,1,0.0001249457,270.0198
530849.000,174923.750,42.819,Consented,1.090357E-06,4.079108E-07,1,0.0001249457,270.0198
530843.000,174923.500,42.819,Consented,4.400425E-07,9.352395E-08,1,5.042515E-05,270.0198
530843.250,174923.500,42.819,Consented,4.400425E-07,9.352395E-08,1,5.042515E-05,270.0198
530843.500,174923.500,41.818,Consented,1.094629E-06,-1.0838E-07,1,0.0001254353,270.0198
530843.750,174923.500,41.818,Consented,1.094629E-06,-1.0838E-07,1,0.0001254353,270.0198
530844.000,174923.500,41.818,Consented,1.094629E-06,-1.0838E-07,1,0.0001254353,270.0198
530844.250,174923.500,41.818,Consented,1.094629E-06,-1.0838E-07,1,0.0001254353,270.0198
530844.500,174923.500,41.818,Consented,1.094629E-06,-1.0838E-07,1,0.0001254353,270.0198
530844.750,174923.500,41.818,Consented,1.094629E-06,-1.0838E-07,1,0.0001254353,270.0198
530845.000,174923.500,41.818,Consented,1.094629E-06,-1.0838E-07,1,0.0001254353,270.0198
530845.250,174923.500,41.818,Consented,1.094629E-06,-1.0838E-07,1,0.0001254353,270.0198
530845.500,174923.500,41.818,Consented,1.094629E-06,-1.0838E-07,1,0.0001254353,270.0198
530845.750,174923.500,41.818,Consented,1.094629E-06,-1.0838E-07,1,0.0001254353,270.0198
530846.000,174923.500,41.818,Consented,1.094629E-06,-1.0838E-07,1,0.0001254353,270.0198
530846.250,174923.500,41.818,Consented,1.094629E-06,-1.0838E-07,1,0.0001254353,270.0198
530846.500,174923.500,41.818,Consented,1.094629E-06,-1.0838E-07,1,0.0001254353,270.0198
530846.750,174923.500,41.818,Consented,1.094629E-06,-1.0838E-07,1,0.0001254353,270.0198
530847.000,174923.500,41.818,Consented,9.284952E-07,-4.425433E-07,1,0.0001063978,270.0198
530847.250,174923.500,41.818,Consented,9.284952E-07,-4.425433E-07,1,0.0001063978,270.0198
530847.500,174923.500,41.818,Consented,9.284952E-07,-4.425433E-07,1,0.0001063978,270.0198
530847.750,174923.500,41.818,Consented,9.284952E-07,-4.425433E-07,1,0.0001063978,270.0198
530848.000,174923.500,41.818,Consented,9.284952E-07,-4.425433E-07,1,0.0001063978,270.0198
530848.250,174923.500,42.819,Consented,6.051608E-07,-1.371032E-06,1,6.934642E-05,270.0198
530848.500,174923.500,42.819,Consented,6.051608E-07,-1.371032E-06,1,6.934642E-05,270.0198
530848.750,174923.500,42.819,Consented,6.051608E-07,-1.371032E-06,1,6.934642E-05,270.0198
530849.000,174923.500,42.819,Consented,6.051608E-07,-1.371032E-06,1,6.934642E-05,270.0198
530849.250,174923.500,42.819,Consented,6.051608E-07,-1.371032E-06,1,6.934642E-05,270.0198
530849.500,174923.500,42.819,Consented,1.090357E-06,4.079108E-07,1,0.0001249457,270.0198
530842.750,174923.250,42.819,Consented,4.400425E-07,9.352395E-08,1,5.042515E-05,270.0198
530843.000,174923.250,42.819,Consented,4.400425E-07,9.352395E-08,1,5.042515E-05,270.0198
530843.250,174923.250,42.819,Consented,-1.235736E-07,3.15843E-07,1,-1.416049E-05,270.0198
530843.500,174923.250,41.818,Consented,1.094629E-06,-1.0838E-07,1,0.0001254353,270.0198
530843.750,174923.250,41.818,Consented,1.094629E-06,-1.0838E-07,1,0.0001254353,270.0198
530844.000,174923.250,41.818,Consented,1.094629E-06,-1.0838E-07,1,0.0001254353,270.0198
530844.250,174923.250,41.818,Consented,1.094629E-06,-1.0838E-07,1,0.0001254353,270.0198
530844.500,174923.250,41.818,Consented,1.094629E-06,-1.0838E-07,1,0.0001254353,270.0198
530844.750,174923.250,41.818,Consented,1.094629E-06,-1.0838E-07,1,0.0001254353,270.0198
530845.000,174923.250,41.818,Consented,1.094629E-06,-1.0838E-07,1,0.0001254353,270.0198
530845.250,174923.250,41.818,Consented,1.094629E-06,-1.0838E-07,1,0.0001254353,270.0198
530845.500,174923.250,41.818,Consented,1.094629E-06,-1.0838E-07,1,0.0001254353,270.0198
530845.750,174923.250,41.818,Consented,1.094629E-06,-1.0838E-07,1,0.0001254353,270.0198
530846.000,174923.250,41.818,Consented,1.094629E-06,-1.0838E-07,1,0.0001254353,270.0198
530846.250,174923.250,41.818,Consented,1.094629E-06,-1.0838E-07,1,0.0001254353,270.0198
530846.500,174923.250,41.818,Consented,1.094629E-06,-1.0838E-07,1,0.0001254353,270.0198
530846.750,174923.250,41.818,Consented,1.094629E-06,-1.0838E-07,1,0.0001254353,270.0198
530847.000,174923.250,41.818,Consented,1.094629E-06,-1.0838E-07,1,0.0001254353,270.0198
530847.250,174923.250,41.818,Consented,1.094629E-06,-1.0838E-07,1,0.0001254353,270.0198
530847.500,174923.250,41.818,Consented,9.284952E-07,-4.425433E-07,1,0.0001063978,270.0198
530847.750,174923.250,41.818,Consented,9.284952E-07,-4.425433E-07,1,0.0001063978,270.0198
530848.000,174923.250,41.818,Consented,9.284952E-07,-4.425433E-07,1,0.0001063978,270.0198
530848.250,174923.250,41.818,Consented,9.284952E-07,-4.425433E-07,1,0.0001063978,270.0198
530848.500,174923.250,41.818,Consented,9.284952E-07,-4.425433E-07,1,0.0001063978,270.0198
530848.750,174923.250,41.818,Consented,9.284952E-07,-4.425433E-07,1,0.0001063978,270.0198
530849.000,174923.250,42.819,Consented,6.051608E-07,-1.371032E-06,1,6.934642E-05,270.0198
530849.250,174923.250,42.819,Consented,6.051608E-07,-1.371032E-06,1,6.934642E-05,270.0198
530849.500,174923.250,42.819,Consented,6.051608E-07,-1.371032E-06,1,6.934642E-05,270.0198
530849.750,174923.250,42.819,Consented,6.051608E-07,-1.371032E-06,1,6.934642E-05,270.0198
530850.000,174923.250,42.819,Consented,6.051608E-07,-1.371032E-06,1,6.934642E-05,270.0198
530850.250,174923.250,42.819,Consented,1.090357E-06,4.079108E-07,1,0.0001249457,270.0198
530842.750,174923.000,42.819,Consented,4.400425E-07,9.352395E-08,1,5.042515E-05,270.0198
530843.000,174923.000,42.819,Consented,4.400425E-07,9.352395E-08,1,5.042515E-05,270.0198
530843.250,174923.000,41.818,Consented,1.094629E-06,-1.0838E-07,1,0.0001254353,270.0198
530843.500,174923.000,41.818,Consented,1.094629E-06,-1.0838E-07,1,0.0001254353,270.0198
530843.750,174923.000,41.818,Consented,1.094629E-06,-1.0838E-07,1,0.0001254353,270.0198
530844.000,174923.000,41.818,Consented,1.094629E-06,-1.0838E-07,1,0.0001254353,270.0198
530844.250,174923.000,41.818,Consented,1.094629E-06,-1.0838E-07,1,0.0001254353,270.0198
530844.500,174923.000,41.818,Consented,1.094629E-06,-1.0838E-07,1,0.0001254353,270.0198
530844.750,174923.000,41.818,Consented,1.094629E-06,-1.0838E-07,1,0.0001254353,270.0198
530845.000,174923.000,41.818,Consented,1.094629E-06,-1.0838E-07,1,0.0001254353,270.0198
530845.250,174923.000,41.818,Consented,1.094629E-06,-1.0838E-07,1,0.0001254353,270.0198
530845.500,174923.000,41.818,Consented,1.094629E-06,-1.0838E-07,1,0.0001254353,270.0198
